cluster,keyword,volume,kd,intent,target_page,role,notes
Fundamentals,programmatic advertising,7900,30,commercial,/platform (Programmatic Advertising Platform),primary-hub,aspirational head; support with cluster
Fundamentals,what is programmatic advertising,1900,31,informational,/resources/guides/what-is-programmatic-advertising,primary,definitive guide
Fundamentals,programmatic media buying,800,19,informational,/platform/how-it-works,primary,
Fundamentals,programmatic advertising examples,450,12,informational,/resources/guides/what-is-programmatic-advertising,secondary,traffic potential 11k
Fundamentals,real time bidding,700,27,informational,/glossary/rtb + /platform/how-it-works,secondary,
Fundamentals,what is rtb,450,19,informational,/glossary/rtb,primary,TP 2100
Fundamentals,how does programmatic advertising work,350,24,informational,/resources/guides/what-is-programmatic-advertising,secondary,FAQ + guide
Fundamentals,how to do programmatic advertising,200,28,informational,/resources/guides/what-is-programmatic-advertising,supporting,
Fundamentals,automated media buying,150,0,informational,/platform/how-it-works,supporting,winnable
Fundamentals,how much does programmatic advertising cost,100,19,informational,FAQ Hub + guide,supporting,AEO
Fundamentals,why is programmatic advertising important,150,11,informational,guide,supporting,AEO
Fundamentals,the future of programmatic advertising,40,5,informational,blog: Industry Trends,supporting,
Fundamentals,programmatic advertising vs display,80,-,commercial,/resources/comparisons,supporting,
DSP,what is a dsp,5400,14,informational,/glossary/dsp + /platform,primary,TP 5700; top AEO win
DSP,demand side platform,1600,39,informational,/platform (DSP),primary,aspirational
DSP,dsp advertising,900,28,informational,/platform/how-it-works,primary,
DSP,programmatic dsp,400,12,informational,/platform/how-it-works,secondary,
DSP,dsp ads,450,30,commercial,/platform,secondary,
DSP,programmatic advertising dsp,200,13,informational,/platform,supporting,
DSP,dsp media buying,200,10,informational,/platform/how-it-works,supporting,
DSP,what is a dsp advertising,200,16,informational,/glossary/dsp,supporting,
DSP,what is dsp advertising,150,23,informational,/glossary/dsp,supporting,
DSP,dsp programmatic advertising,150,16,informational,/platform,supporting,
DSP,programmatic dsps,150,15,informational,/platform,supporting,
DSP,dsp programmatic,200,10,informational,/glossary/dsp,supporting,
DSP,supply side platform,700,8,informational,/glossary/ssp,primary,TP 1400
DSP,sell side platform,60,9,informational,/glossary/ssp,supporting,TP 1200
DSP,self service dsp,150,2,commercial,/solutions/by-business/agency,supporting,
DSP,white label dsp,100,1,commercial,/solutions/by-business/agency,secondary,
Comparisons,best dsp,300,0,commercial,/resources/comparisons/best-dsp,primary,KD 0
Comparisons,best demand side platform,200,4,commercial,/resources/comparisons/best-dsp,secondary,
Comparisons,dsp comparison,40,-,commercial,/resources/comparisons/best-dsp,supporting,
Comparisons,programmatic advertising platform,600,9,commercial,/platform,primary,money term low KD
Comparisons,best programmatic advertising platforms,-,-,commercial,/resources/comparisons,primary,parent of above
Comparisons,the trade desk alternative,10,-,commercial,/resources/comparisons/trade-desk-alternative,primary,low vol high intent
CTV-OTT-Video,what is ctv,3000,9,informational,/glossary/ctv + /solutions/by-channel/ott-ctv,primary,TP 5900; top AEO win
CTV-OTT-Video,ctv advertising,2100,17,commercial,/solutions/by-channel/ott-ctv,primary,
CTV-OTT-Video,ott advertising,1500,21,commercial,/solutions/by-channel/ott-ctv,primary,TP 4000
CTV-OTT-Video,connected tv advertising,900,28,commercial,/solutions/by-channel/ott-ctv,secondary,TP 7000
